season,position,U,D,A,reason,eligible_candidates
2018,QB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2018,RB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2018,WR,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2018,TE,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2019,QB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2019,RB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2019,WR,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2019,TE,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2020,QB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2020,RB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2020,WR,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2020,TE,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2021,QB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2021,RB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2021,WR,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2021,TE,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2022,QB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2022,RB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2022,WR,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2022,TE,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2023,QB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2023,RB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2023,WR,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2023,TE,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2024,QB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2024,RB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2024,WR,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2024,TE,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2025,QB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2025,RB,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2025,WR,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
2025,TE,0.0,0.0,0.0,no_candidate_passed_prior_guard,0
